Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Italia
2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,7,1,96,453,247,0,212,0,201,63,30,11,0,649,70,1,63,514,0,0,349,2967
2021-01-18,94,99,245,244,679,94,980,157,975,149,0,5,55,249,351,124,157,98,85,0,201,5041
2021-01-19,20,0,13,3,17,0,454,90,469,90,11,130,0,9,10,55,234,0,0,0,149,1754
2021-01-20,2,1,1,0,1,735,1544,12,114,20,0,208,12,713,8,2,270,248,0,0,652,4543
2021-01-21,0,1,33,1417,1346,896,5054,431,691,328,0,828,124,3497,862,33,948,722,269,0,2272,19752
2021-01-22,0,0,2,852,741,89,3515,487,69,294,0,124,1345,1340,421,28,1026,2338,244,36,1055,14006
2021-01-23,207,703,43,3569,2008,810,6629,657,199,435,0,197,189,3376,2159,60,4252,3327,278,0,4026,33124
2021-01-24,44,797,6,3745,2146,305,5084,644,663,877,0,12,324,2719,1519,85,4200,3149,257,0,4089,30665
2021-01-25,1588,959,936,5582,6256,1390,7343,2255,6565,1506,316,485,794,5234,3407,569,7151,4881,643,149,6312,64321
2021-01-26,1514,708,1602,6990,8126,1760,7242,2472,8005,1935,442,809,516,5600,4809,1310,9332,5173,798,141,6772,76056
2021-01-27,1327,306,1092,7576,7903,821,5117,1605,7241,2002,667,83,717,3197,3980,1336,7118,4630,827,73,6902,64520
2021-01-28,1421,795,2209,8701,9910,1887,7497,2809,11442,1923,596,862,484,5210,5032,2905,8651,5930,1229,235,9045,88773
2021-01-29,1314,554,1843,10008,10127,2148,7235,3032,12827,1830,416,1474,1305,5486,5967,2911,8760,5841,1152,318,8659,93207
2021-01-30,1444,578,1891,10687,9945,2008,6206,1637,12176,1880,449,494,234,5764,5149,3506,7566,4427,1531,425,8063,86060
2021-01-31,1233,77,968,8047,7457,2336,3984,617,9742,1820,262,0,75,4003,1746,2072,3941,2945,1033,233,4381,56972
2021-02-01,1361,197,2307,3874,9959,2084,5325,2470,15778,1266,548,1446,1134,8079,3615,1299,5592,4988,1236,318,8406,81282
2021-02-02,1541,193,2190,5280,8959,2251,5276,2544,19432,1123,323,1744,720,9445,3777,1243,4689,3546,910,272,6116,81574
2021-02-03,1644,641,2309,8025,8377,2625,5526,2266,24590,2007,394,1499,434,9594,4335,694,5217,3981,657,337,5473,90625
2021-02-04,1072,1040,3008,6635,8689,2691,5318,2641,25869,2275,682,1956,554,9621,4794,1357,5303,3293,708,286,6843,94635
2021-02-05,746,931,3364,5128,7684,2523,6109,2384,23303,1719,538,3192,523,8947,4324,1467,4660,3826,762,193,6965,89288
2021-02-06,1009,776,2475,3239,5485,1132,5324,1747,14258,1941,401,2609,141,7595,2963,1405,3266,3234,362,197,3389,62948
2021-02-07,578,331,717,771,3061,1179,4558,405,6975,1528,47,2349,0,2642,1328,891,1648,1921,53,102,1601,32685
2021-02-08,709,410,1203,804,2915,2266,5238,1673,7967,462,119,1,811,6251,2408,616,1758,459,547,198,3077,39892
2021-02-09,409,175,1209,252,1847,286,4236,1688,8186,79,163,316,476,6672,1676,998,1035,611,0,183,1806,32303
2021-02-10,444,53,1632,177,1257,86,3354,1299,6829,359,20,1610,342,6221,1513,520,381,523,15,107,1056,27798
2021-02-11,43,83,1263,66,843,193,533,888,7383,389,37,855,340,3760,1279,111,466,242,5,9,628,19416
2021-02-12,189,32,773,188,1403,47,421,1042,4974,151,124,248,423,2958,1094,59,286,213,6,46,572,15249
2021-02-13,421,61,366,217,598,6,419,280,1477,82,0,6,366,1224,695,2,255,227,3,1,20,6726
2021-02-14,0,0,31,34,120,1,472,0,636,0,0,0,236,600,125,2,140,110,0,47,13,2567
2021-02-15,42,43,155,175,125,254,643,399,462,13,3,46,114,1206,622,31,564,826,1,35,240,5999
2021-02-16,12,98,280,771,531,116,612,425,448,30,6,0,5,758,648,27,465,721,9,6,176,6144
2021-02-17,282,77,211,1061,772,484,885,432,1390,118,15,17,92,990,635,74,670,752,351,100,94,9502
2021-02-18,130,216,232,707,585,408,819,337,1037,287,13,7,64,429,608,64,430,896,466,88,64,7887
2021-02-19,100,62,263,650,514,427,838,176,724,135,2,11,59,501,391,56,564,513,217,24,204,6431
2021-02-20,76,119,323,303,263,144,775,1,307,111,20,18,284,173,257,334,241,515,24,10,72,4370
2021-02-21,1,0,77,225,440,378,465,4,17,1,2,0,113,102,63,30,106,170,0,18,5,2217
2021-02-22,30,53,559,265,272,418,503,142,307,75,15,12,84,589,336,228,493,277,86,103,391,5238
2021-02-23,11,139,117,526,386,181,769,109,332,56,221,6,213,583,493,280,467,161,42,0,270,5362
2021-02-24,177,74,478,688,885,18,997,258,955,78,335,12,399,503,596,193,565,197,15,19,488,7930
2021-02-25,530,46,597,1190,954,29,1180,130,1609,181,68,1,441,544,1177,604,1164,998,52,7,605,12107
2021-02-26,969,81,460,1340,1050,148,1404,329,1904,476,73,30,295,736,1073,306,1681,1206,8,86,1260,14915
2021-02-27,267,164,383,1644,1739,1,1042,129,642,209,19,10,422,336,1233,557,1204,902,16,107,848,11874
2021-02-28,2,36,155,1900,1846,394,539,9,210,6,42,0,0,240,191,226,630,727,0,183,837,8173
2021-03-01,751,169,459,4112,2260,53,3886,136,1707,248,215,1,296,808,1378,659,1657,3641,114,34,1822,24406
